country,sku,spend_per_unit,ad_spend_eur,units_ordered
FR,VV-VITA-142,3.39749,1705.54,502
FR,VV-VITA-143,5.2314,261.57,50
FR,VV-VITA-146,2.369452,345.94,146
FR,VV-VITA-151,6.692571,2576.64,385
FR,VV-VITA-153,4.344298,525.66,121
FR,VV-VITA-155,2.292691,511.27,223
FR,VV-VITA-157,1.824951,563.91,309
FR,VV-VITA-158,2.694773,118.57,44
FR,VV-VITA-159,2.676848,246.27,92
FR,VV-VITA-160,,0.0,0
FR,VV-VITA-165,4.118455,506.57,123
FR,VV-VITA-166,2.338947,222.2,95
FR,VV-VITA-168,6.000822,438.06,73
FR,VV-VITA-171,2.650833,413.53,156
FR,VV-VITA-172,2.331791,156.23,67
FR,VV-VITA-173,1.904498,436.13,229
FR,VV-VITA-174,2.0852,260.65,125
FR,VV-VITA-181,3.409,170.45,50
FR,VV-VITA-183,1.251538,48.81,39
FR,VV-VITA-186,3.102687,207.88,67
FR,VV-VITA-188,3.5544,444.3,125
FR,VV-VITA-189,4.238462,55.1,13
FR,VV-VITA-190,2.882045,126.81,44
FR,VV-VITA-197,2.413649,357.22,148
FR,VV-VITA-198,4.777471,1662.56,348
FR,VV-VITA-198-V,1.423429,49.82,35
FR,VV-VITA-199,1.878944,266.81,142
FR,VV-VITA-202,2.465955,219.47,89
FR,VV-VITA-203,3.010235,897.05,298
FR,VV-VITA-204,4.875294,165.76,34
FR,VV-VITA-206,3.593425,262.32,73
FR,VV-VITA-207,2.615795,510.08,195
FR,VV-VITA-208,3.72678,439.76,118
FR,VV-VITA-215,2.316332,530.44,229
