promotion_id,promotion_type,asin,promo_price,original_price,start,end
2ef28cba,Best Deal,B091Z4JQBD,16.92,0.0,2026-03-10 00:00:00,2026-03-16 23:45:00
23985214102,Coupon,B091Z4JQBD,15.01,15.81,2026-02-17 00:00:00,2026-03-17 23:59:00
2f1f00de,Best Deal,B091Z4JQBD,16.92,0.0,2026-05-24 00:00:00,2026-05-30 23:59:00
2f1f00de,Best Deal,B091Z4JQBD,16.92,15.81,2026-05-24 00:00:00,2026-05-30 23:59:00
2ef28cba,Best Deal,B08QVYP7YH,20.32,0.0,2026-03-10 00:00:00,2026-03-16 23:45:00
6b4f4563,Best Deal,B0D637HBP1,15.21,14.21,2025-12-26 00:00:00,2026-01-08 23:45:00
6b4f4563,Best Deal,B08QVYP7YH,20.31,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
6b4f4563,Best Deal,B08QVYP7YH,20.31,18.98,2025-12-26 00:00:00,2026-01-08 23:45:00
23985214102,Coupon,B0BK8X47M5,-0.68,0.0,2026-02-17 00:00:00,2026-03-17 23:59:00
6b4f4563,Best Deal,B0BMQXCX1X,20.18,18.86,2025-12-26 00:00:00,2026-01-08 23:45:00
6b4f4563,Best Deal,B0DFCQLLSY,12.66,11.83,2025-12-26 00:00:00,2026-01-08 23:45:00
6b4f4563,Best Deal,B0BMQXCX1X,20.18,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
6b4f4563,Best Deal,B07F1FKM3M,21.16,19.78,2025-12-26 00:00:00,2026-01-08 23:45:00
6b4f4563,Best Deal,B0DFCQLLSY,12.66,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
23985214102,Coupon,B09C6FG128,23.88,25.14,2026-02-17 00:00:00,2026-03-17 23:59:00
6b4f4563,Best Deal,B07F1FKM3M,21.16,0.0,2025-12-26 00:00:00,2026-01-08 23:45:00
6b4f4563,Best Deal,B07WH27VXM,19.12,17.87,2025-12-26 00:00:00,2026-01-08 23:45:00
2ef28cba,Best Deal,B09NRH4J1C,21.17,0.0,2026-03-10 00:00:00,2026-03-16 23:45:00
2ef28cba,Best Deal,B09NRH4J1C,21.17,19.79,2026-03-10 00:00:00,2026-03-16 23:45:00
2ef28cba,Best Deal,B094R1JQ6K,18.62,17.4,2026-03-10 00:00:00,2026-03-16 23:45:00
